,station_name,lng,lat
409,Morgan St & 18th St,-87.651073,41.858086
410,Michigan Ave & Oak St,-87.623685956,41.9008708
411,Western Ave & Monroe St,-87.68609766666667,41.8797915
412,Christiana Ave & Lawrence Ave,-87.7118306675,41.96835449363
413,Kedzie Ave & Leland Ave,-87.7080519806,41.96668636205
414,Damen Ave & Clybourn Ave,-87.6777705,41.93182733333333
415,Central Park Ave & Elbridge Ave,-87.7168892935,41.93533728263
416,Bernard St & Elston Ave,-87.71397116666667,41.94996183333333
417,Ashland Ave & Wellington Ave,-87.66996916666666,41.936108833333336
418,St. Louis Ave & Fullerton Ave,-87.71449506282805,41.92481559681187
419,Wells St & Polk St,-87.633718133,41.872609854
420,Drake Ave & Montrose Ave,-87.7165690733,41.96115407569
421,Valli Produce - Evanston Plaza,-87.699413,42.039742
422,DuSable Lake Shore Dr & Wellington Ave,-87.636847,41.9367135
423,California Ave & Byron St,-87.698078,41.952163
424,California Ave & Winona St,-87.7,41.97
425,Broadway & Belmont Ave,-87.64554416666667,41.94012433333333
426,Cottage Grove Ave & 43rd St,-87.606582,41.816499
427,Lamon Ave & Belmont Ave,-87.75,41.94
428,Pulaski Rd & Eddy St (Temp),-87.731023,41.946264
429,Wacker Dr & Washington St,-87.63743283333334,41.883501
430,Calumet Ave & 21st St,-87.6191537415,41.85418424947
431,South Shore Dr & 74th St,-87.55927465,41.76218896038
432,Humboldt Blvd & Armitage Ave,-87.7019245,41.91755616666666
433,Artesian Ave & Hubbard St,-87.688108683,41.889500737
434,Ravenswood Ave & Berteau Ave,-87.673596978,41.95793879
435,Indiana Ave & 26th St,-87.622481,41.845687
436,Clark St & Schiller St,-87.6315355,41.9080915
437,Warren Park East,-87.6806661451,42.00454962194
438,Kedzie Ave & George St,-87.71,41.93
439,Southport Ave & Wrightwood Ave,-87.66384283333333,41.928838166666665
440,Central Park Ave & North Ave,-87.7166319516,41.90965687563
441,Leavitt St & Armitage Ave,-87.682437,41.917805
442,Lincoln Ave & Waveland Ave,-87.675218463,41.948790669
443,Mason Ave & Belmont Ave,-87.77,41.94
444,Shields Ave & 31st St,-87.63539633333333,41.83850966666667
445,63rd St Beach,-87.57632374763489,41.78091096424803
446,California Ave & Montrose Ave,-87.69542666666666,41.961154666666665
447,Lake Park Ave & 35th St,-87.6087991946,41.83127423549
448,Southport Ave & Roscoe St,-87.66402,41.943739
449,Greenwood Ave & 47th St,-87.599383,41.809835
450,Lincoln Ave & Roscoe St,-87.67117833333333,41.94377883333333
451,Ellis Ave & 60th St,-87.6010727606,41.78509714636
452,Fort Dearborn Dr & 31st St,-87.608218,41.838556
453,Drake Ave & Addison St,-87.717582,41.947326
454,Cannon Dr & Fullerton Ave,-87.6344287848,41.9267559875
455,Hampden Ct & Diversey Ave,-87.64,41.93
456,Dayton St & North Ave,-87.6494219288,41.9105780349
457,Richmond St & Lincoln Ave,-87.7,41.99
458,Larrabee St & Armitage Ave,-87.643749,41.918084
459,Dauphin Ave & 103rd St,-87.60766267776489,41.7072503677818
460,Throop St & Taylor St,-87.659141,41.868968
461,Greenwood Ave & 97th St,-87.59703576564789,41.71870315475741
462,Broadway & Argyle St,-87.65966,41.973815
463,Calumet Ave & 51st St,-87.6180535802,41.80229465088
464,Lakefront Trail & Wilson Ave,-87.645361,41.965845
465,MLK Jr Dr & 63rd St,-87.6159428567,41.78008063659
466,Francisco Ave & Foster Ave,-87.70148016666667,41.97564833333333
467,Keystone Ave & Fullerton Ave,-87.72785,41.92459
468,MLK Jr Dr & 56th St,-87.6158532619,41.79342945658
469,Montrose Harbor,-87.638181,41.963982
470,Southport Ave & Irving Park Rd,-87.664358,41.954177
471,Buckingham Fountain,-87.620287776,41.876506329
472,Houston Ave & 92nd St,-87.54970014095306,41.72820421535798
473,Sawyer Ave & Irving Park Rd,-87.7093107999,41.95358617895
474,N Carpenter St & W Lake St,-87.65,41.89
